Date,Signal,Action,Strategy,Ticker
2020-03-13,-1,Sell/Short,Optimized Long-Short,SPY
2020-03-26,-1,Sell/Short,Optimized Long-Short,SPY
2020-03-30,-1,Sell/Short,Optimized Long-Short,SPY
2020-04-02,-1,Sell/Short,Optimized Long-Short,SPY
2020-04-06,-1,Sell/Short,Optimized Long-Short,SPY
2020-04-08,-1,Sell/Short,Optimized Long-Short,SPY
2020-04-14,-1,Sell/Short,Optimized Long-Short,SPY
2020-04-16,-1,Sell/Short,Optimized Long-Short,SPY
2020-04-17,-1,Sell/Short,Optimized Long-Short,SPY
2020-05-15,-1,Sell/Short,Optimized Long-Short,SPY
2020-06-11,1,Buy/Long,Optimized Long-Short,SPY
2020-06-19,1,Buy/Long,Optimized Long-Short,SPY
2020-06-26,1,Buy/Long,Optimized Long-Short,SPY
2020-09-03,1,Buy/Long,Optimized Long-Short,SPY
2020-09-08,1,Buy/Long,Optimized Long-Short,SPY
2020-09-10,1,Buy/Long,Optimized Long-Short,SPY
2020-09-16,1,Buy/Long,Optimized Long-Short,SPY
2020-09-23,1,Buy/Long,Optimized Long-Short,SPY
2020-10-19,1,Buy/Long,Optimized Long-Short,SPY
2020-10-21,1,Buy/Long,Optimized Long-Short,SPY
2020-10-27,1,Buy/Long,Optimized Long-Short,SPY
2020-10-28,1,Buy/Long,Optimized Long-Short,SPY
2020-12-23,1,Buy/Long,Optimized Long-Short,SPY
2021-01-27,1,Buy/Long,Optimized Long-Short,SPY
2021-01-29,1,Buy/Long,Optimized Long-Short,SPY
2021-02-25,1,Buy/Long,Optimized Long-Short,SPY
2021-02-26,1,Buy/Long,Optimized Long-Short,SPY
2021-05-12,1,Buy/Long,Optimized Long-Short,SPY
2021-05-18,1,Buy/Long,Optimized Long-Short,SPY
2021-06-18,1,Buy/Long,Optimized Long-Short,SPY
2021-07-16,1,Buy/Long,Optimized Long-Short,SPY
2021-08-18,1,Buy/Long,Optimized Long-Short,SPY
2021-09-10,1,Buy/Long,Optimized Long-Short,SPY
2021-09-14,1,Buy/Long,Optimized Long-Short,SPY
2021-09-17,1,Buy/Long,Optimized Long-Short,SPY
2021-09-21,1,Buy/Long,Optimized Long-Short,SPY
2021-09-28,1,Buy/Long,Optimized Long-Short,SPY
2021-09-29,1,Buy/Long,Optimized Long-Short,SPY
2021-09-30,1,Buy/Long,Optimized Long-Short,SPY
2021-11-26,1,Buy/Long,Optimized Long-Short,SPY
2021-11-30,1,Buy/Long,Optimized Long-Short,SPY
2021-12-01,1,Buy/Long,Optimized Long-Short,SPY
2022-01-13,1,Buy/Long,Optimized Long-Short,SPY
2022-01-18,1,Buy/Long,Optimized Long-Short,SPY
2022-01-19,1,Buy/Long,Optimized Long-Short,SPY
