Date,Price,Position
2022-09-22,361.19891357421875,1.0
2022-09-29,350.1665954589844,0.0
2022-09-30,344.7518005371094,1.0
2022-10-04,364.818359375,0.0
2022-10-25,371.52655029296875,-1.0
2022-10-28,375.48388671875,0.0
2022-10-31,372.7716064453125,-1.0
2022-11-01,371.1404113769531,0.0
2022-11-11,384.6436462402344,-1.0
2022-11-17,380.522216796875,0.0
2022-12-16,371.6327209472656,1.0
2022-12-22,369.1600646972656,0.0
2022-12-23,371.2835998535156,1.0
2022-12-27,369.8194580078125,0.0
2022-12-29,371.7974548339844,1.0
2022-12-30,370.81817626953125,0.0
2023-01-12,384.9070129394531,-1.0
2023-01-19,376.8396911621094,0.0
2023-01-24,388.04864501953125,-1.0
2023-01-25,388.1941223144531,0.0
2023-01-27,393.3621826171875,-1.0
2023-01-31,394.137939453125,0.0
2023-02-02,404.1252136230469,-1.0
2023-02-07,402.58349609375,0.0
2023-02-08,398.18133544921875,-1.0
2023-02-09,394.7294006347656,0.0
2023-02-22,386.43902587890625,1.0
2023-02-24,384.3446350097656,0.0
2023-02-27,385.65362548828125,1.0
2023-03-03,391.9175109863281,0.0
2023-03-10,374.19256591796875,1.0
2023-03-15,377.4601745605469,0.0
2023-03-31,398.4745788574219,-1.0
2023-04-06,398.2799987792969,0.0
2023-05-01,404.4314270019531,-1.0
2023-05-02,399.885986328125,0.0
2023-05-05,401.6282653808594,1.0
2023-05-08,401.7352600097656,0.0
2023-05-19,407.4584655761719,-1.0
2023-05-24,400.12921142578125,0.0
2023-05-30,408.9769287109375,-1.0
2023-06-01,410.57318115234375,0.0
2023-06-02,416.51055908203125,-1.0
2023-06-08,417.68829345703125,0.0
2023-06-09,418.437744140625,-1.0
2023-06-21,424.91595458984375,0.0
2023-07-03,433.56195068359375,-1.0
2023-07-06,429.527099609375,0.0
2023-07-13,439.198974609375,-1.0
2023-07-21,441.75860595703125,0.0
2023-08-10,435.63311767578125,1.0
2023-08-15,432.6827697753906,0.0
2023-08-16,429.5075988769531,1.0
2023-08-22,428.0518798828125,0.0
2023-09-22,421.9833679199219,1.0
2023-09-29,419.10101318359375,0.0
2023-10-04,416.33624267578125,1.0
2023-10-05,416.1793518066406,0.0
2023-10-23,412.2185363769531,1.0
2023-10-25,409.3655700683594,0.0
2023-10-26,404.4635925292969,1.0
2023-10-31,410.00286865234375,0.0
2023-11-15,440.8658447265625,-1.0
2023-11-20,445.35601806640625,0.0
2023-11-21,444.385498046875,-1.0
2023-11-22,446.1011047363281,0.0
2023-12-12,455.00323486328125,-1.0
2023-12-21,465.3135681152344,0.0
2024-01-22,475.8956298828125,-1.0
2024-02-01,481.55572509765625,0.0
2024-02-05,484.8533630371094,-1.0
2024-02-06,486.26104736328125,0.0
2024-02-08,490.533203125,-1.0
2024-02-14,490.7793273925781,0.0
2024-02-16,491.70465087890625,-1.0
2024-02-20,488.99761962890625,0.0
2024-02-23,499.914306640625,-1.0
2024-02-27,499.0086975097656,0.0
2024-03-04,504.2947692871094,-1.0
2024-03-06,501.78460693359375,0.0
2024-03-08,503.72381591796875,-1.0
2024-03-11,503.29071044921875,0.0
2024-03-13,507.90740966796875,-1.0
2024-03-14,506.90338134765625,0.0
2024-03-21,515.63720703125,-1.0
2024-03-26,512.289794921875,0.0
2024-03-28,516.4962768554688,-1.0
2024-04-02,512.3195190429688,0.0
2024-04-15,498.11029052734375,1.0
2024-04-23,499.29522705078125,0.0
2024-05-08,510.6902160644531,-1.0
2024-05-21,524.6820678710938,0.0
2024-06-06,527.9406127929688,-1.0
2024-06-10,528.927978515625,0.0
2024-06-11,530.2018432617188,-1.0
2024-06-24,537.6480102539062,0.0
2024-07-05,549.4364013671875,-1.0
2024-07-12,554.7361450195312,0.0
2024-07-15,556.26171875,-1.0
2024-07-18,547.4749145507812,0.0
2024-07-25,533.3585815429688,1.0
2024-07-29,539.6490478515625,0.0
2024-08-05,512.5259399414062,1.0
2024-08-09,527.989501953125,0.0
2024-08-20,553.458251953125,-1.0
2024-08-22,551.0015258789062,0.0
2024-09-20,564.6453247070312,-1.0
2024-09-26,568.6696166992188,0.0
2024-10-10,572.475341796875,-1.0
2024-10-11,575.9034423828125,0.0
2024-10-14,580.6133422851562,-1.0
2024-10-16,578.606201171875,0.0
2024-10-17,578.6558227539062,-1.0
2024-10-22,579.6196899414062,0.0
2024-11-01,567.4176025390625,1.0
2024-11-06,587.2907104492188,0.0
2024-11-07,591.831787109375,-1.0
2024-11-14,589.5860595703125,0.0
2024-12-05,602.8116455078125,-1.0
2024-12-10,598.9761352539062,0.0
2024-12-19,582.382080078125,1.0
2024-12-23,592.9064331054688,0.0
